Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
27.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
30.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
01.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
02.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
03.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
04.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
07.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
08.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
09.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
10.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
11.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
14.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
15.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
16.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
17.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
18.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
21.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
22.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
23.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
24.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
25.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
29.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
30.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
31.7.2014,2014,7,"250,00",,,"250,00","0,00",0,0,0
01.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
04.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
05.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
06.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
07.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
08.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
11.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
12.8.2014,2014,8,"250,00",,,"250,00","0,00",0,0,0
13.8.2014,2014,8,"243,00","243,00","243,00","243,00","-2,80",500,121.500,121.500
14.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
15.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
18.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
19.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
20.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
21.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
22.8.2014,2014,8,"243,00",,,"243,00","0,00",0,0,0
